# z23 benchmark history.
# Columns: date, commit, bench, value, unit, notes.
# Numeric value rows are regression-gated by build/bin/z23 -bench-regress.
# Empty value rows are pending/skipped measurements and are ignored by the gate.
# Bench names follow docs/USER_BENCHMARKS.md primaries #1..#5.
# Append-only: do not rewrite old rows; add a correction row instead.
date,commit,bench,value,unit,notes
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] blake2b,888.800,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 1125113 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust [host-isa] groth16-bls12-381-output,6987349.400,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); ZCL_NATIVE=1 -march=native; AVX-512 + SHA-NI compiled IN; 143 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust equihash-200-9,112152.533,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 8916 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust bls12-381-fp-mul,30.980,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 32278397 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust bls12-381-pairing,1122589.545,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 891 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust secp256k1-ecdsa-verify,49755.903,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20098 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust ed25519-verify,1498871.489,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 667 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust sha256,479.332,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 2086237 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust sha3-256,1729.146,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 578320 ops/sec
2026-07-29T13:15:50Z,49a734c7a-dirty,crypto-vs-rust blake2b,849.083,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1177741 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust equihash-200-9,112278.182,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 8906 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust bls12-381-fp-mul,31.230,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 32020743 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust bls12-381-pairing,1219223.163,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 820 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust secp256k1-ecdsa-verify,49713.285,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20115 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust ed25519-verify,1518884.163,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 658 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust sha256,486.081,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 2057268 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust sha3-256,1741.695,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 574153 ops/sec
2026-07-29T13:17:38Z,49a734c7a-dirty,crypto-vs-rust blake2b,852.455,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1173082 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust equihash-200-9,121600.618,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 8224 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust bls12-381-fp-mul,31.541,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 31704898 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust bls12-381-pairing,1190231.548,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 840 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust secp256k1-ecdsa-verify,49833.917,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20067 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust ed25519-verify,1502851.087,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 665 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust sha256,490.370,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 2039276 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust sha3-256,1751.453,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 570955 ops/sec
2026-07-29T13:18:57Z,49a734c7a-dirty,crypto-vs-rust blake2b,852.496,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1173027 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust equihash-200-9,108650.294,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 9204 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust bls12-381-fp-mul,30.314,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 32988176 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust bls12-381-pairing,1127007.054,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 887 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust secp256k1-ecdsa-verify,48303.695,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20702 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust ed25519-verify,1474459.330,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 678 ops/sec
